Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-JUN-2023,34883,35029.8,34790.45,34907,603581070,11867.76
16-JUN-2023,35026.7,35198.05,34995.8,35144.3,624854137,11131.96
19-JUN-2023,35282.05,35396.85,35122.9,35158.05,626890076,10653.5
20-JUN-2023,35195,35355.55,35062.95,35329.2,502500251,10562.35
21-JUN-2023,35565.25,35744.65,35517.9,35614.4,733807385,15648.66
22-JUN-2023,35682.65,35693.4,35130.75,35235.25,705273479,12522.77
23-JUN-2023,35217.3,35223.6,34767.3,34799.9,524671698,10255.51
26-JUN-2023,34786.75,35157.25,34659.75,35120.45,491219555,8930.38
27-JUN-2023,35240.5,35377.95,35191.95,35296.95,544187711,9493.02
28-JUN-2023,35463.9,35578.55,35369.35,35520.95,677915593,12273.13
30-JUN-2023,35644.75,35782.25,35612.2,35754.35,563389188,11260.48
03-JUL-2023,35945.4,35980.8,35790.85,35843.5,715227854,10488.12
04-JUL-2023,35972.8,35978.5,35699.55,35771.8,1122409201,11890.87
05-JUL-2023,35841.55,36054.75,35786.9,36024.65,909192500,13054.57
06-JUL-2023,36084.7,36379.9,36043.7,36373.1,842605842,11718.94
07-JUL-2023,36354.6,36403.6,35953.05,36076.8,777503981,11119.22
10-JUL-2023,36183.3,36190.25,35831.8,35938.05,627480560,9960.01
11-JUL-2023,36057.45,36344.1,36028.3,36252.9,599306543,11526.45
12-JUL-2023,36354.8,36458.65,36261.9,36408.15,626689017,11677.95
13-JUL-2023,36542.55,36546.8,36005.25,36114.35,712606315,12579.45
14-JUL-2023,36281.45,36549.55,36192.7,36528.95,484453902,10718.43
17-JUL-2023,36651.4,36766.5,36589.35,36641.25,776740314,11652.96
18-JUL-2023,36730.9,36747.3,36409.85,36591.4,833058513,11285.79
19-JUL-2023,36689.65,36860.2,36623.2,36839,768988330,12115.31
20-JUL-2023,36919.25,36966,36863.6,36931.7,835315141,13186.36
21-JUL-2023,36809.05,36886.2,36752.05,36799.5,1080985181,14533.28
24-JUL-2023,36879.35,36940.85,36705.7,36742.6,1096782008,14351.32
25-JUL-2023,36929.65,36944.85,36655.25,36887.65,708016416,12385.58
26-JUL-2023,37017.1,37117.9,36940.95,37050.1,1164064226,13276.16
27-JUL-2023,37227.4,37297,37025.4,37151.6,998853156,14322.6
28-JUL-2023,37234.1,37378.05,37135.95,37357.15,685514634,13493.27
31-JUL-2023,37432,37757.15,37352.65,37721.35,1005963397,14912.58
01-AUG-2023,37853.65,37884.45,37666.9,37733.45,883536874,13262.12
02-AUG-2023,37697.35,37707.45,36874,37232.7,872183245,14214.49
03-AUG-2023,37206.7,37408,37100.85,37326.15,1018120510,15505.11
04-AUG-2023,37509.25,37715.05,37419.75,37630.6,903465037,15910.65
07-AUG-2023,37723.7,37847.95,37615.85,37824.15,900063255,14733.41
08-AUG-2023,37950.6,37984.05,37578.75,37912.5,1018053456,16667.7
09-AUG-2023,37995.85,38058.4,37756.4,38037,706828012,16442.74
10-AUG-2023,38100.9,38163.95,37850.95,38007.6,918987259,17151.39
11-AUG-2023,38138,38148.5,37791.2,37836.15,756744241,15622.93
14-AUG-2023,37791.85,37838.15,37258.6,37770.2,790400155,12543.54
16-AUG-2023,37709,37844.45,37526.35,37801.65,760752070,13577.53
17-AUG-2023,37901.4,38013.8,37832.9,37895.5,830007916,12788.49
18-AUG-2023,37923.9,38003.2,37715.15,37815.4,670257057,12569.79
21-AUG-2023,37900.15,38160.85,37830.65,38126.4,644475471,11247.12
22-AUG-2023,38263.85,38563,38237.65,38544.3,929315342,13015.88
23-AUG-2023,38681.1,38831.8,38641.7,38694.65,722574686,14181
24-AUG-2023,38934.95,39039,38751.25,38789,726146583,24210.95
25-AUG-2023,38712.15,38805.8,38385.15,38471.25,932289472,13561.95
28-AUG-2023,38605.5,38733.25,38508.25,38662.15,1003175489,12179.8
29-AUG-2023,38777.85,38844,38708.85,38794.8,1001859025,13879.83
30-AUG-2023,38966.8,39151.9,38953.8,39077.55,780275723,13547.97
31-AUG-2023,39202.35,39241.9,38965.9,39118.65,1746677415,38002.19
01-SEP-2023,39148.4,39480.5,39035.8,39445.6,2221805806,18652.86
04-SEP-2023,39630.75,39885.3,39445.6,39830.35,2247007270,19489.15
05-SEP-2023,39995.45,40292.15,39830.35,40253.6,1828293604,20838.99
06-SEP-2023,40367.35,40377.3,40154.8,40284.1,1240015997,15298.53
07-SEP-2023,40362.8,40619.15,40284.1,40593.9,1158701153,14065.58
08-SEP-2023,40722.8,41011.15,40705,40977.75,1249370186,17227.69
11-SEP-2023,41225.8,41467.2,41148.7,41444.2,1665565303,18456.03
12-SEP-2023,41684.9,41686.75,40128,40170.3,1987457328,22157.69
13-SEP-2023,40142.75,40345.75,39603.65,40245.1,1519389338,17863.35
14-SEP-2023,40455.65,40740.85,40403.6,40716.05,1106203873,15243.28
15-SEP-2023,40908.4,40982.75,40711.6,40829.9,1607733955,17618.41
18-SEP-2023,40885.3,40890.5,40633.1,40658.2,1717022523,15219.28
20-SEP-2023,40515.4,40714.45,40311.65,40543.85,999763746,13765.75
21-SEP-2023,40480.65,40664.95,40095.45,40184.85,946858670,12860.91
22-SEP-2023,40240.45,40399.55,39909.25,40139.15,1059719404,12527.99
25-SEP-2023,40216.95,40456.35,39909.85,40405.7,869471605,13845.75
26-SEP-2023,40437.65,40546.6,40312.85,40338.85,1042331035,11607.55
27-SEP-2023,40423.2,40678.4,40311.4,40640.8,1053285504,13906.62
28-SEP-2023,40734.25,40766.75,40051.65,40104.05,1105480203,17189.6
29-SEP-2023,40273.9,40663.25,40165.5,40537.05,786927784,15102.54
03-OCT-2023,40562.1,40666,40382.3,40608.85,779212829,12265.14
04-OCT-2023,40522.75,40525.85,39746.85,40047.5,813683266,12914.23
05-OCT-2023,40246.55,40402.4,40014.05,40046,603537747,10414.44
06-OCT-2023,40207,40319.35,40123.85,40284.7,567238632,9928.29
09-OCT-2023,39895,39987.3,39634.7,39744.65,874091824,10777.03
10-OCT-2023,39925.75,40325,39921.95,40285.5,593993013,12817.55
11-OCT-2023,40539.95,40731.15,40458.65,40486.25,834862830,12684.84
12-OCT-2023,40654.55,40704.95,40523.4,40555.5,608794279,10648.89
13-OCT-2023,40429.8,40641.85,40348.8,40506.15,784315976,10884.52
16-OCT-2023,40571.55,40687.6,40443.55,40590.65,601237249,11236.62
17-OCT-2023,40798.25,40849.45,40666.3,40733.35,812837685,13144.73
18-OCT-2023,40799.8,40844.4,40318.85,40367.15,643332245,13339.6
19-OCT-2023,40219.3,40375.6,40001,40332.6,620653453,11555.83
20-OCT-2023,40256.1,40322.4,39754.45,39878.75,750653419,12636.68
23-OCT-2023,39918.1,39971.9,38706.1,38817.35,982284230,15748.64
25-OCT-2023,38964.35,39083.4,38187.65,38564.25,884648028,13715.49
26-OCT-2023,38337.75,38365.8,37655.85,38116.75,861316773,15152.27
27-OCT-2023,38383.5,38828.35,38383,38701.85,686018580,11891.75
30-OCT-2023,38804.35,38832.7,38363.2,38735.2,911857348,12968.51
31-OCT-2023,38952.95,39116.65,38818.95,38876.95,720264209,10855
